"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"34","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:23:34,FALSE,NA,"663587714873188353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DDUBOB_B",1175,TRUE,FALSE,NA,NA
"35","RT @GaemGyu: 롯데 황재균~~~~ 4타수 3안타 2홈런 ... 규현 효과인가... 야구 매력에 빠져버렸다! http://t.co/DkDN8Uwjit",FALSE,0,NA,2015-11-09 05:23:28,FALSE,NA,"663587687522131968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ory_ajh",21286,TRUE,FALSE,NA,NA
"36","RT @znfhzh18: @shiro_ring 야구~~~~~~~",FALSE,0,NA,2015-11-09 05:23:12,FALSE,NA,"663587620400730112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shiro_ring",1,TRUE,FALSE,NA,NA
"37","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:21:47,FALSE,NA,"663587266573369350",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kei_hye",1175,TRUE,FALSE,NA,NA
"38","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:21:43,FALSE,NA,"663587249267675137",NA,"<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","meat_rabbit",1175,TRUE,FALSE,NA,NA
"39","@jyushumatsu 다음에 토도마츠보면 야구배트로 한대만 후려줘...쥬시쨩..",FALSE,0,"jyushumatsu",2015-11-09 05:21:34,FALSE,"663586949374971904","663587211992952832","4067436134","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elli42831",0,FALSE,FALSE,NA,NA
"40","근데 왜 짤은 야구갤러리건데....?",FALSE,0,NA,2015-11-09 05:20:26,FALSE,NA,"663586926625067008",NA,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","SaberShana",0,FALSE,FALSE,NA,NA
"41","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:20:24,FALSE,NA,"663586916080594944",NA,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","alsgir",1175,TRUE,FALSE,NA,NA
"42","RT @_koume_princess: 얼마전 한국시리즈때 야구 보시던 아버지가 ""삼성 저 망할 놈들 두산한테 져야돼""라고 하셔서 왜 그러시나 궁금해 물어보니 ""삼성이 너 떨어뜨렸잖아""라고 하셨다. 못난 아들을 생각해주시는 아버지한테 살짝 감동을 받아…",FALSE,0,NA,2015-11-09 05:20:17,FALSE,NA,"663586886619828224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ssunssar",1175,TRUE,FALSE,NA,NA
"43","@ma_cchiato 
그 왜 오소마츠의 우울편에서 ㅋㅋㅋㅋㅋ 우우우와아아아아↗ 하면서 배영했서 ㅋㅋㅋㅋㅋㅋㅋㅋ
마자 ㅋㅋㅋ야구?! 하다 아니라니까 놀라곸ㅋㅋ
이치마츠..정말..여러모로 대단..했지...ㅋㅋㅋㅋㅋㅋㅋ",FALSE,0,"ma_cchiato",2015-11-09 05:20:13,FALSE,"663586639810183168","663586872854089728","3062819539","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mimmi3310",0,FALSE,FALSE,NA,NA
"44","RT @phone_qudtls: 좃ㅅㅅ은꿈좋으ㅇ꿈!!!!!!!<ed><U+00A0><U+00BC><ed><U+00BC><U+009B>  내ㅇㄹ은 일어나소 야구하자!!엉!!ㆍ<ed><U+00A0><U+00BD><ed><U+00B2><U+00A3> https://t.co/bz12xPVOb7",FALSE,0,NA,2015-11-09 05:20:04,FALSE,NA,"663586832693653505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dodoumi14",170,TRUE,FALSE,NA,NA
"45","RT @phone_qudtls: 좃ㅅㅅ은꿈좋으ㅇ꿈!!!!!!!<ed><U+00A0><U+00BC><ed><U+00BC><U+009B>  내ㅇㄹ은 일어나소 야구하자!!엉!!ㆍ<ed><U+00A0><U+00BD><ed><U+00B2><U+00A3> https://t.co/bz12xPVOb7",FALSE,0,NA,2015-11-09 05:18:47,FALSE,NA,"663586509736448002",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rabbitShamr0ck",170,TRUE,FALSE,NA,NA
